h,infl_resp,infl_lo,infl_hi,act_resp,act_lo,act_hi,oil_resp,infl_cum
0,0.017123606605857763,-0.2814410751491528,0.3156882883608683,-0.016119152896863994,-0.05509858790001791,0.022860282106289927,-0.8273137127787679,0.017123606605857763
1,-0.34455714716895,-0.6904763277774804,0.0013620334395803568,0.024843880344784762,-0.015117549137214553,0.06480530982678408,-0.2610128280922007,-0.3274335405630922
2,-0.30490081220536486,-0.5513990236556255,-0.058402600755104145,-0.020427793459762585,-0.051960592539421896,0.011105005619896722,0.027493005004154112,-0.6323343527684571
3,-0.25835256219819025,-0.4881128321909106,-0.028592292205469855,0.0046078123504537365,-0.014156571771275295,0.02337219647218277,-0.010451519015222253,-0.8906869149666473
4,-0.2061697794186366,-0.4068330681865537,-0.005506490650719509,-0.007495949827796192,-0.02366046069686923,0.008668561041276848,-0.029037962020302018,-1.096856694385284
5,-0.18044698778097587,-0.35074581533070726,-0.010148160231244513,-0.000915953684848055,-0.012552553420917354,0.010720646051221243,-0.026197216305370613,-1.2773036821662598
6,-0.1556073976298665,-0.3044985531176466,-0.006716242142086409,-0.0033402977681841048,-0.013585251998322757,0.006904656461954549,-0.0198934347688746,-1.4329110797961262
7,-0.135857849880575,-0.2682664376643018,-0.003449262096848177,-0.0019305741408622305,-0.010502308134233099,0.006641159852508637,-0.015911575195022027,-1.5687689296767011
8,-0.1178759460208229,-0.2366745345901092,0.0009226425484634149,-0.002081141266259915,-0.009641514034395188,0.0054792315018753575,-0.014235157817254063,-1.686644875697524
9,-0.10243856776694799,-0.2090922577658918,0.004215122231995813,-0.0016057686763007249,-0.008137414535616165,0.004925877183014715,-0.01251971560887495,-1.789083443464472
10,-0.08881673282344836,-0.1844852056369285,0.006851739990031788,-0.001459928255885948,-0.007150908884924843,0.004231052373152947,-0.0109209611557689,-1.8779001762879204
11,-0.07702507356538561,-0.16282598816751037,0.008775841036739146,-0.0012419323167653445,-0.006172498354935443,0.0036886337214047547,-0.009427148848050503,-1.954925249853306
12,-0.06679732402562394,-0.14378040224626426,0.010185754195016383,-0.001091357635324175,-0.005374940425213824,0.0031922251545654745,-0.008169309293665494,-2.02172257387893
13,-0.05794956411037378,-0.1270541721402506,0.01115504391950304,-0.0009424220670844647,-0.004661959274490511,0.002777115140321582,-0.007084847659702084,-2.079672137989304
14,-0.05027421188073135,-0.11231770032063276,0.01176927655917006,-0.0008188603502499906,-0.00405167091655392,0.0024139502160539384,-0.00614958370739497,-2.1299463498700355
15,-0.043614391299019256,-0.09931339555865394,0.012084612960615429,-0.0007094054794102351,-0.0035190255417958498,0.0021002145829753793,-0.005335129864327492,-2.1735607411690547
16,-0.03783467189937156,-0.08782491315832894,0.012155569359585824,-0.0006156696506094659,-0.0030581727344153554,0.0018268334331964238,-0.004628226787750964,-2.211395413068426
17,-0.03282074044050402,-0.07767171265793194,0.012030231776923889,-0.00053402455877908,-0.0026576350947725667,0.0015895859772144067,-0.004014698428156153,-2.2442161535089302
18,-0.028471441630204083,-0.06869492576955483,0.01175204250914666,-0.00046332503824142056,-0.0023101079911506104,0.0013834579146677693,-0.003482676314760169,-2.2726875951391343
19,-0.024698694594096123,-0.06075538355289793,0.011357994364705689,-0.0004019133708141948,-0.0020082715556596934,0.001204444814031304,-0.0030211782827084806,-2.2973862897332302
20,-0.021425890643762692,-0.053730946190030236,0.010879164902504852,-0.00034865761342548455,-0.0017461835432331049,0.0010488683163821359,-0.00262085478259855,-2.3188121803769928
21,-0.01858674295021688,-0.04751477761263097,0.010341291712197203,-0.00030245206659902164,-0.0015185285647613311,0.000913624431563288,-0.002273566192209236,-2.3373989233272097
22,-0.016123793084279466,-0.04201314579357962,0.009765559625020691,-0.00026237475517255666,-0.0013207633627192422,0.000796013852374129,-0.001972294549665614,-2.353522716411489
23,-0.013987209466700316,-0.03714362372393249,0.00916920479053186,-0.00022760723452524678,-0.0011489267935775433,0.0006937123245270497,-0.0017109427691897208,-2.3675099258781893
24,-0.0121337492242443,-0.032833552329108284,0.008566053880619682,-0.0001974471291118408,-0.0009995965182846953,0.0006047022600610137,-0.0014842236782019896,-2.3796436751024337
