h,b,lo,hi
0,0.2751509868683827,-0.23448232566358504,0.7847842994003504
1,-0.6911225052802517,-1.3335458010758006,-0.04869920948470285
2,-0.9950784789085277,-1.6111281606116186,-0.37902879720543675
3,-0.6993079854628991,-1.2661944021568956,-0.13242156876890268
4,-0.6763826166172855,-1.2308058070536203,-0.12195942618095057
5,0.012664326249862875,-0.6436542166233203,0.6689828691230462
6,0.15687594074208125,-0.4865675822664557,0.8003194637506181
7,0.3429192858640662,-0.23507319500736806,0.9209117667355005
8,-0.43819666952729114,-1.1046282154297344,0.22823487637515227
9,-0.9088660051575761,-1.462909338711444,-0.35482267160370806
10,0.31909699660973656,-0.5232805265835343,1.1614745198030074
11,0.5941417838179026,-0.15315402690507218,1.3414375945408774
12,-0.04870549595319392,-0.6260993237385505,0.5286883318321626
13,-0.6655891238076647,-1.396094754941672,0.06491650732634276
14,-0.2240640705016089,-0.8617276626565873,0.41359952165336955
15,-0.19993101731369464,-0.9107179032650992,0.5108558686377099
16,-0.26392267209804704,-0.7457946057495761,0.2179492615534821
17,0.43387080234006814,-0.32569318686666665,1.1934347915468029
18,0.700441696262857,0.0655760944911391,1.335307298034575
